transaction-code,portfolio-code,product-code,transaction-quantity,transaction-price,transaction-date,transaction-direction,source-system
TR-C6M5-C7F2,P1-EUR,PR-Y6Z1C,1700000.0,1.0,2021-12-30,BUY,CURRENT
TR-G8T6-J4P8,P1-EUR,PR-S3F9S-01,-53333.68,1.0,2021-12-15,SELL,CURRENT
TR-K7D7-D4S8,P1-EUR,PR-H2M7X-03,-1800000.0,1.0,2021-12-27,SELL,CURRENT
TR-D4M3-W5R9,P1-EUR,PR-L7H1G,-266240.0,1.0,2021-12-30,SELL,CURRENT
TR-P8Z1-V9B8,P1-EUR,PR-D0D1L,-1063988.0,1.0,2021-12-20,SELL,CURRENT
TR-J7L1-S0N0,P1-EUR,PR-J0Q5F-03,-1999999.9999999998,1.0,2021-12-02,SELL,CURRENT
TR-D7H7-C4P5,P1-EUR,PR-D0D1L,-12.0,1.0,2021-12-20,SELL,CURRENT
TR-J5V0-H7Z4,P2-USD,PR-R4Y5Z-01,-3900000.0,1.0,2021-12-13,SELL,CURRENT
TR-R4V5-V1S6,P2-USD,PR-R4Y5Z-02,3900000.0,1.0,2021-12-13,BUY,CURRENT
TR-M3D6-D0H4,P1-EUR,PR-P4H9W,1899999.9999999998,1.0,2021-12-07,BUY,CURRENT
TR-C2G9-B2G4,P1-EUR,PR-P3Q1D,1800000.0,1.0,2021-12-29,BUY,CURRENT
TR-M8T8-W7B3,P1-EUR,PR-Q9H9X,-324000.0,1.0,2021-12-28,SELL,CURRENT
TR-X1P7-K9M1,P1-EUR,PR-H8G8F-02,-286478.0,1.0,2021-12-06,SELL,CURRENT
TR-P9K9-S4H3,P1-EUR,PR-H8G8F-03,286478.0,1.0,2021-12-06,BUY,CURRENT
TR-S5P0-K9S8,P1-EUR,PR-P4Q6N,259049.32,1.0,2022-05-20,BUY,CURRENT
TR-M7F4-K1V3,P1-EUR,PR-C0W4K,102401.11000000002,1.0,2022-05-24,BUY,CURRENT
TR-L8F4-L6J4,P1-EUR,PR-J8S9K,200000.0,1.0,2022-05-18,BUY,CURRENT
TR-V8S5-S1G2,P1-EUR,PR-X8W3M,343000.0,1.0,2022-03-16,BUY,CURRENT
TR-V3X3-N1Z3,P2-USD,PR-K7R0X,-3900000.0,1.0,2022-04-19,SELL,CURRENT
TR-K2F0-K4S6,P2-USD,PR-K7R0X-01,3900000.0,1.0,2022-04-19,BUY,CURRENT
TR-Y8Z2-C8M7,P1-EUR,PR-R9D5W,-127399.99999999999,1.0,2022-04-15,SELL,CURRENT
TR-K1Y4-H1Q1,P1-EUR,PR-R9D5W-01,127399.99999999999,1.0,2022-04-15,BUY,CURRENT
TR-M3Y6-N2H1,P1-EUR,PR-H5Z5N,708177.0,1.0,2022-06-28,BUY,CURRENT
TR-F2X5-H5G1,P1-EUR,PR-Y6Z1C-01,-559000.0,1.0,2022-03-21,SELL,CURRENT
TR-Z4P1-V4N1,P1-EUR,PR-Y6Z1C-01,-301000.0,1.0,2022-03-22,SELL,CURRENT
TR-C2V2-V8G6,P1-EUR,PR-G7H8M,-5054.0,1.0,2022-05-19,SELL,CURRENT
TR-X2H9-W9K0,P1-EUR,PR-G7H8M,-463800.99999999994,1.0,2022-05-23,SELL,CURRENT
TR-L3R4-F2S9,P1-EUR,PR-V1D4D,415000.0,1.0,2022-02-10,BUY,CURRENT
TR-F1L4-X9Z8,P2-USD,PR-V0X7L,-2602000.0,1.0,2022-02-03,SELL,CURRENT
TR-X2T1-K6N7,P2-USD,PR-V0X7L-01,2602000.0,1.0,2022-02-03,BUY,CURRENT
TR-M5Z0-V2P8,P1-EUR,PR-N0Z0R,-90000.0,1.0,2022-02-18,SELL,CURRENT
TR-R2F4-V6T3,P1-EUR,PR-J3P4B-01,-425673.46,1.0,2022-06-21,SELL,CURRENT
TR-T6P8-L5S5,P1-EUR,PR-J3P4B-02,425673.46,1.0,2022-06-21,BUY,CURRENT
TR-C8G2-Z0V7,P2-USD,PR-V0X7L-04,-2602000.0,1.0,2022-06-01,SELL,CURRENT
TR-W7J8-H9B3,P2-USD,PR-V0X7L-05,2602000.0,1.0,2022-06-01,BUY,CURRENT
TR-N7C9-K0D5,P1-EUR,PR-S3F9S-02,-53333.68,1.0,2022-02-03,SELL,CURRENT
TR-V1V5-V1Y6,P1-EUR,PR-J3P4B-02,-425673.46,1.0,2022-06-23,SELL,CURRENT
TR-C8J5-H0Q5,P1-EUR,PR-S3F9S-02,-53333.64,1.0,2022-02-08,SELL,CURRENT
TR-G6R9-B1B2,P1-EUR,PR-B4C4V,640115.0,1.0,2022-04-07,BUY,CURRENT
TR-P4K1-F3F0,P1-EUR,PR-F5Q8Z,-253056.11,1.0,2022-04-04,SELL,CURRENT
TR-J8R0-N2T1,P1-EUR,PR-R9D5W,127399.99999999999,1.0,2022-03-03,BUY,CURRENT
TR-Z6W7-Y7R7,P2-USD,PR-V0X7L-01,-2602000.0,1.0,2022-03-01,SELL,CURRENT
TR-T6H5-W2H3,P2-USD,PR-V0X7L-02,2602000.0,1.0,2022-03-01,BUY,CURRENT
TR-N4S2-P1J1,P1-EUR,PR-Y6Z1C-01,-52499.99999999999,1.0,2022-03-09,SELL,CURRENT
TR-F1Y9-Y3L5,P1-EUR,PR-N7M9B,1999999.9999999998,1.0,2022-03-10,BUY,CURRENT
TR-S4B8-H4N9,P1-EUR,PR-P9J2Z,1018000.0000000001,1.0,2022-05-06,BUY,CURRENT
TR-T3B9-M5N9,P1-EUR,PR-G7H8M,-82349.0,1.0,2022-05-10,SELL,CURRENT
TR-V8Y7-Q2F6,P1-EUR,PR-G7H8M,-4095.0,1.0,2022-05-11,SELL,CURRENT
TR-K6Z0-H3G1,P1-EUR,PR-R9D5W-02,-127388.0,1.0,2022-05-17,SELL,CURRENT
TR-C2W8-K3C9,P1-EUR,PR-P3Q1D-02,-1800000.0,1.0,2022-04-11,SELL,CURRENT
TR-F6M2-Q6N6,P1-EUR,PR-R9D5W-01,-127399.99999999999,1.0,2022-05-01,SELL,CURRENT
TR-H5F7-L0V5,P1-EUR,PR-R9D5W-02,127399.99999999999,1.0,2022-05-01,BUY,CURRENT
TR-G3Z9-J4G2,P1-EUR,PR-N0Z0R-01,-503670.0,1.0,2022-05-01,SELL,CURRENT
TR-V4P1-D6M4,P1-EUR,PR-N0Z0R-02,503670.0,1.0,2022-05-01,BUY,CURRENT
TR-W3H4-T6P3,P1-EUR,PR-P3Q1D-01,-1800000.0,1.0,2022-04-01,SELL,CURRENT
TR-D1W3-S3V0,P1-EUR,PR-P3Q1D-02,1800000.0,1.0,2022-04-01,BUY,CURRENT
TR-P6N5-G9M2,P2-USD,PR-V0X7L-03,-2602000.0,1.0,2022-05-01,SELL,CURRENT
TR-C6H0-W6P6,P2-USD,PR-V0X7L-04,2602000.0,1.0,2022-05-01,BUY,CURRENT
TR-M3V7-K5F5,P2-USD,PR-K7R0X-01,-3900000.0,1.0,2022-05-01,SELL,CURRENT
TR-X5P9-S7Z4,P2-USD,PR-K7R0X-02,3900000.0,1.0,2022-05-01,BUY,CURRENT
TR-P2J0-D8N2,P1-EUR,PR-J0Q5F-02,-1999999.9999999998,1.0,2021-12-01,SELL,CURRENT
TR-G6H1-V7P2,P1-EUR,PR-J0Q5F-03,1999999.9999999998,1.0,2021-12-01,BUY,CURRENT
TR-J1Z4-B8J0,P1-EUR,PR-H2M7X-02,-1800000.0,1.0,2021-12-01,SELL,CURRENT
TR-L5G4-V5B4,P1-EUR,PR-H2M7X-03,1800000.0,1.0,2021-12-01,BUY,CURRENT
TR-X6B2-R4Y5,P1-EUR,PR-H6W2N-02,-12.0,1.0,2021-12-01,SELL,CURRENT
TR-L6K7-N7R7,P1-EUR,PR-T0J0S-01,-375000.0,1.0,2021-11-29,SELL,CURRENT
TR-Y5D3-T6W2,P1-EUR,PR-H8G8F-01,-286478.0,1.0,2021-11-02,SELL,CURRENT
TR-R7H3-C9X3,P1-EUR,PR-H8G8F-02,286478.0,1.0,2021-11-02,BUY,CURRENT
TR-Q9F1-K4S7,P1-EUR,PR-H2M7X-01,-1800000.0,1.0,2021-11-09,SELL,CURRENT
TR-X9Y3-J9N5,P1-EUR,PR-H2M7X-02,1800000.0,1.0,2021-11-09,BUY,CURRENT
TR-V9L4-W4S7,P1-EUR,PR-H6W2N-01,-132888.0,1.0,2021-11-19,SELL,CURRENT
TR-F4M6-Z3H5,P1-EUR,PR-J0Q5F-01,-1999999.9999999998,1.0,2021-11-04,SELL,CURRENT
TR-Q6Y8-G6P1,P1-EUR,PR-J0Q5F-02,1999999.9999999998,1.0,2021-11-04,BUY,CURRENT
TR-S7P3-S7S1,P1-EUR,PR-Z8S7N,-284169.0,1.0,2021-11-19,SELL,CURRENT
TR-P0W1-N9S6,P1-EUR,PR-H6W2N-01,-12.0,1.0,2021-11-19,SELL,CURRENT
TR-F7X5-J5T4,P1-EUR,PR-H6W2N-02,12.0,1.0,2021-11-19,BUY,CURRENT
TR-G5C5-P3F0,P1-EUR,PR-B4C4V,-640115.0,1.0,2022-06-21,SELL,CURRENT
TR-X2V8-T4B2,P1-EUR,PR-B4C4V-01,640115.0,1.0,2022-06-21,BUY,CURRENT
TR-K8K2-C9P2,P1-EUR,PR-B4C4V-01,-640115.0,1.0,2022-06-29,SELL,CURRENT
TR-R5Z6-T3Z9,P1-EUR,PR-V6R8B,121905.56000000001,1.0,2022-06-24,BUY,CURRENT
TR-X6M8-H0P3,P1-EUR,PR-V6R8B,-121905.56000000001,1.0,2022-06-27,SELL,CURRENT
TR-V7Y3-G3S4,P1-EUR,PR-N7M9B-01,-1600000.0,1.0,2022-06-30,SELL,CURRENT
TR-K3Q9-M5N0,P2-USD,PR-K7R0X,3900000.0,1.0,2022-01-24,BUY,CURRENT
TR-Q8R2-Z6P1,P1-EUR,PR-F5Q8Z,253056.11,1.0,2022-01-26,BUY,CURRENT
TR-K8F6-L3T7,P1-EUR,PR-S3F9S-01,-106667.32,1.0,2022-01-31,SELL,CURRENT
TR-C9C0-K1W4,P1-EUR,PR-S3F9S-02,106667.32,1.0,2022-01-31,BUY,CURRENT
TR-H9P5-J4L3,P2-USD,PR-V0X7L-02,-2602000.0,1.0,2022-04-01,SELL,CURRENT
TR-Z1C8-Y9W1,P2-USD,PR-V0X7L-03,2602000.0,1.0,2022-04-01,BUY,CURRENT
TR-K5X9-F0J2,P1-EUR,PR-N0Z0R,-503670.0,1.0,2022-04-08,SELL,CURRENT
TR-T7F2-K4G1,P1-EUR,PR-N0Z0R-01,503670.0,1.0,2022-04-08,BUY,CURRENT
TR-V4F7-L5C0,P1-EUR,PR-X6S5X,403812.17,1.0,2022-04-13,BUY,CURRENT
TR-L6V8-N3K6,P1-EUR,PR-Z2D9N,160001.05,1.0,2022-06-02,BUY,CURRENT
TR-Q8N5-N7B7,P1-EUR,PR-R9D5W-02,-12.0,1.0,2022-05-17,SELL,CURRENT
TR-J2K0-D7L0,P1-EUR,PR-J3P4B,-425673.46,1.0,2022-06-08,SELL,CURRENT
TR-N8B6-S4Z1,P1-EUR,PR-J3P4B-01,425673.46,1.0,2022-06-08,BUY,CURRENT
TR-S8R1-G3F8,P1-EUR,PR-N7M9B,-1999999.9999999998,1.0,2022-06-08,SELL,CURRENT
TR-X9Y0-C4H9,P1-EUR,PR-N7M9B-01,1999999.9999999998,1.0,2022-06-08,BUY,CURRENT
TR-T1D2-Z1M3,P2-USD,PR-K7R0X-02,-3900000.0,1.0,2022-06-01,SELL,CURRENT
TR-T2Q8-H5J3,P2-USD,PR-K7R0X-03,3900000.0,1.0,2022-06-01,BUY,CURRENT
TR-S8X4-L9S5,P1-EUR,PR-N0Z0R-02,-503670.0,1.0,2022-06-01,SELL,CURRENT
TR-M8Q0-K9S0,P1-EUR,PR-N0Z0R-03,503670.0,1.0,2022-06-01,BUY,CURRENT
TR-D2W9-N6G9,P1-EUR,PR-Y6Z1C-01,-28000.0,1.0,2022-03-29,SELL,CURRENT
TR-V6D8-N8K3,P1-EUR,PR-Y6Z1C-01,-129500.0,1.0,2022-03-29,SELL,CURRENT
TR-P7X3-D1X8,P1-EUR,PR-G7H8M,555299.0,1.0,2022-03-29,BUY,CURRENT
TR-C3Y6-F0P5,P1-EUR,PR-Y6Z1C-01,-180000.0,1.0,2022-03-30,SELL,CURRENT
TR-Q0W6-B5Y8,P1-EUR,PR-Y6Z1C-02,180000.0,1.0,2022-03-30,BUY,CURRENT
TR-C1P8-G6Q2,P2-USD,PR-R4Y5Z-02,-3900000.0,1.0,2022-01-01,SELL,CURRENT
TR-G8V0-T4M8,P2-USD,PR-R4Y5Z-03,3900000.0,1.0,2022-01-01,BUY,CURRENT
TR-B3D9-B0W3,P1-EUR,PR-N0Z0R,593670.0,1.0,2022-01-14,BUY,CURRENT
TR-K2B9-S8T6,P2-USD,PR-R4Y5Z-03,-3900000.0,1.0,2022-01-20,SELL,CURRENT
ID-4075,P1-EUR,PR-Z2Q0K,134000.0,1.0,2021-09-07,BUY,LEGACY
ID-4073,P1-EUR,PR-S3F9S,160001.0,1.0,2021-09-07,BUY,LEGACY
ID-3754,P1-EUR,PR-X5S4Q,226293.0,1.0,2021-06-09,BUY,LEGACY
ID-4148,P1-EUR,PR-H6W2N,132900.0,1.0,2021-09-23,BUY,LEGACY
IR-5164,P1-EUR,PR-D6D3Q,-350000.0,1.0,2021-06-04,SELL,LEGACY
ID-4068,P1-EUR,PR-M2J0X,321544.0,1.0,2021-09-07,BUY,LEGACY
ID-4072,P1-EUR,PR-H8G8F,286478.0,1.0,2021-09-07,BUY,LEGACY
ID-3982,P1-EUR,PR-H2M7X,1800000.0,1.0,2021-08-12,BUY,LEGACY
ID-3631,P1-EUR,PR-D6D3Q,3500000.0,1.0,2021-05-04,BUY,LEGACY
ID-3964,P1-EUR,PR-J0Q5F,1999999.9999999998,1.0,2021-08-06,BUY,LEGACY
ID-4115,P2-USD,PR-R4Y5Z,3900000.0,1.0,2021-09-08,BUY,LEGACY
ID-4287,P1-EUR,PR-T0J0S,375000.0,1.0,2021-10-28,BUY,LEGACY
IR-5489,P1-EUR,PR-D6D3Q,-1750000.0,1.0,2021-07-30,SELL,LEGACY
IR-6067,P1-EUR,PR-Z2Q0K,-133988.0,1.0,2021-10-22,SELL,LEGACY
IR-5497,P1-EUR,PR-D6D3Q,-850000.0,1.0,2021-08-02,SELL,LEGACY
IR-5889,P1-EUR,PR-M2J0X,-321544.0,1.0,2021-09-21,SELL,LEGACY
IR-5505,P1-EUR,PR-D6D3Q,-550000.0,1.0,2021-08-03,SELL,LEGACY
IR-5670,P1-EUR,PR-X5S4Q,-226293.0,1.0,2021-08-23,SELL,LEGACY
TR-P9C9-F1F2,P1-EUR,PR-Y6Z1C,-1700000.0,1.0,2022-02-28,SELL,CURRENT
TR-K0K5-W5H6,P1-EUR,PR-Y6Z1C-01,1700000.0,1.0,2022-02-28,BUY,CURRENT
TR-Y7F1-B8L3,P1-EUR,PR-V1D4D-01,-415000.0,1.0,2022-03-01,SELL,CURRENT
TR-N5B3-J9H6,P1-EUR,PR-P4H9W,-1899999.9999999998,1.0,2022-03-04,SELL,CURRENT
TR-L2X1-L5G3,P1-EUR,PR-Z8S7N,284169.0,1.0,2021-11-02,BUY,CURRENT
TR-K5L8-J3B3,P1-EUR,PR-D0D1L,1064000.0,1.0,2021-11-03,BUY,CURRENT
TR-P1H4-F4G2,P1-EUR,PR-L7H1G,266240.0,1.0,2021-11-03,BUY,CURRENT
TR-L6P1-G0B5,P1-EUR,PR-Q9H9X,324000.0,1.0,2021-11-03,BUY,CURRENT
TR-W9S1-D8N6,P2-USD,PR-V0X7L,2602000.0,1.0,2021-11-09,BUY,CURRENT
TR-Q3B8-N0K9,P1-EUR,PR-Z2Q0K-01,-12.0,1.0,2021-11-03,SELL,CURRENT
TR-F6F8-J2Q3,P2-USD,PR-R4Y5Z,-3900000.0,1.0,2021-11-01,SELL,CURRENT
TR-D4W5-Y7F4,P2-USD,PR-R4Y5Z-01,3900000.0,1.0,2021-11-01,BUY,CURRENT
TR-D2D9-J0B2,P1-EUR,PR-J0Q5F,-1999999.9999999998,1.0,2021-11-01,SELL,CURRENT
TR-Z8Q2-J8Y2,P1-EUR,PR-J0Q5F-01,1999999.9999999998,1.0,2021-11-01,BUY,CURRENT
TR-H1T9-R6R1,P1-EUR,PR-Z2Q0K,-12.0,1.0,2021-11-01,SELL,CURRENT
TR-X2W3-Y0K2,P1-EUR,PR-Z2Q0K-01,12.0,1.0,2021-11-01,BUY,CURRENT
TR-J0C8-L2J0,P1-EUR,PR-H6W2N,-132900.0,1.0,2021-11-01,SELL,CURRENT
TR-D0D1-P4D9,P1-EUR,PR-H6W2N-01,132900.0,1.0,2021-11-01,BUY,CURRENT
TR-X3Z6-D5M9,P1-EUR,PR-H2M7X,-1800000.0,1.0,2021-11-01,SELL,CURRENT
TR-J8L9-F7P8,P1-EUR,PR-H2M7X-01,1800000.0,1.0,2021-11-01,BUY,CURRENT
TR-F2Z6-P8V9,P1-EUR,PR-T0J0S,-375000.0,1.0,2021-11-01,SELL,CURRENT
TR-S9Y7-F6W0,P1-EUR,PR-T0J0S-01,375000.0,1.0,2021-11-01,BUY,CURRENT
TR-J7R9-W2Y4,P1-EUR,PR-S3F9S,-160001.0,1.0,2021-11-01,SELL,CURRENT
TR-L1J8-K4Y6,P1-EUR,PR-S3F9S-01,160001.0,1.0,2021-11-01,BUY,CURRENT
TR-Q2C4-G3K5,P1-EUR,PR-H8G8F,-286478.0,1.0,2021-11-01,SELL,CURRENT
TR-X3P8-R8D2,P1-EUR,PR-H8G8F-01,286478.0,1.0,2021-11-01,BUY,CURRENT
TR-H9Z5-J6K3,P1-EUR,PR-P4N4N,200000.0,1.0,2022-04-21,BUY,CURRENT
TR-F3G3-J2P5,P1-EUR,PR-S3D5J,1800000.0,1.0,2022-04-21,BUY,CURRENT
TR-M9K0-K4V5,P1-EUR,PR-X8W3M,-343000.0,1.0,2022-04-28,SELL,CURRENT
TR-C0B5-Z6R6,P1-EUR,PR-H8G8F-03,-286478.0,1.0,2022-01-06,SELL,CURRENT
TR-T7L4-S7Y6,P1-EUR,PR-V1D4D,-415000.0,1.0,2022-02-28,SELL,CURRENT
TR-J3C9-S7K4,P1-EUR,PR-V1D4D-01,415000.0,1.0,2022-02-28,BUY,CURRENT
TR-R4R5-G8P9,P1-EUR,PR-J8S3D,274964.77,1.0,2022-03-28,BUY,CURRENT
TR-R2N8-Y3V9,P1-EUR,PR-J3P4B,425673.46,1.0,2022-03-28,BUY,CURRENT
TR-Y1W1-H0K5,P1-EUR,PR-Y6Z1C-01,-450000.0,1.0,2022-03-30,SELL,CURRENT
TR-R3B2-L6J9,P1-EUR,PR-P3Q1D,-1800000.0,1.0,2022-03-29,SELL,CURRENT
TR-P7K8-Z7L6,P1-EUR,PR-P3Q1D-01,1800000.0,1.0,2022-03-29,BUY,CURRENT
TR-L7W0-V3Y0,P1-EUR,PR-Y6Z1C-02,-180000.0,1.0,2022-03-31,SELL,CURRENT
